N 48° 45.777 E 009° 05.777
N 48° 45.777 E 009° 05.777

N 48° 46.356 E 009° 05.346
N 48° 46.365 E 009° 05.346
N 48° 46.536 E 009° 05.346
N 48° 46.563 E 009° 05.346
N 48° 46.635 E 009° 05.346
N 48° 46.653 E 009° 05.346

N 48° 46.356 E 009° 05.364
N 48° 46.365 E 009° 05.364
N 48° 46.536 E 009° 05.364
N 48° 46.563 E 009° 05.364
N 48° 46.635 E 009° 05.364
N 48° 46.653 E 009° 05.364

N 48° 46.356 E 009° 05.436
N 48° 46.365 E 009° 05.436
N 48° 46.536 E 009° 05.436
N 48° 46.563 E 009° 05.436
N 48° 46.635 E 009° 05.436
N 48° 46.653 E 009° 05.436

N 48° 46.356 E 009° 05.463
N 48° 46.365 E 009° 05.463
N 48° 46.536 E 009° 05.463
N 48° 46.563 E 009° 05.463
N 48° 46.635 E 009° 05.463
N 48° 46.653 E 009° 05.463

N 48° 46.356 E 009° 05.634
N 48° 46.365 E 009° 05.634
N 48° 46.536 E 009° 05.634
N 48° 46.563 E 009° 05.634
N 48° 46.635 E 009° 05.634
N 48° 46.653 E 009° 05.634

N 48° 46.356 E 009° 05.643
N 48° 46.365 E 009° 05.643
N 48° 46.536 E 009° 05.643
N 48° 46.563 E 009° 05.643
N 48° 46.635 E 009° 05.643
N 48° 46.653 E 009° 05.643
